city,state,zip,latitude,longitude,id,opendate,openyear
Los Angeles,CA,90015,34.040539,-118.27139,1523,8/30/1995,1995
El Monte,CA,91731,34.068722,-118.064,1583,10/15/1996,1996
La Jolla,CA,92037,32.899471,-117.243,6355,7/30/1997,1997
Pasadena,CA,91105,34.145138,-118.15266,6506,8/30/1997,1997
Riverside,CA,92503,33.909912,-117.45905,6425,8/30/1997,1997
Pasadena,CA,91105,34.145119,-118.15013,6507,8/30/1997,1997
Pasadena,CA,91103,34.147621,-118.14711,6505,8/30/1997,1997
Pasadena,CA,91101,34.142975,-118.14056,6508,8/31/1997,1997
Sherman Oaks,CA,91423,34.156837,-118.43446,7233,5/30/1998,1998
Universal City,CA,91608,34.138718,-118.35904,7242,5/30/1998,1998
Oxnard,CA,93030,34.228313,-119.17087,7195,5/30/1998,1998
Riverside,CA,92509,34.018902,-117.38,7206,5/30/1998,1998
Northridge,CA,91324,34.241116,-118.55671,7192,5/30/1998,1998
Encino,CA,91436,34.169243,-118.49722,21383,6/15/1998,1998
Granite Bay,CA,95746,38.74453,-121.17,25527,6/15/1998,1998
Downey,CA,90241,33.947559,-118.15381,7250,6/15/1998,1998
Ontario,CA,91764,34.07122,-117.575,7194,6/15/1998,1998
Los Angeles,CA,90045,33.943249,-118.40334,7184,6/30/1998,1998
Van Nuys,CA,91405,34.211079,-118.44871,7245,6/30/1998,1998
Santa Monica,CA,90405,34.017082,-118.44704,7229,6/30/1998,1998
Santa Cruz,CA,95061,36.973392,-122.02485,21794,6/30/1998,1998
Sacramento,CA,95837,38.690048,-121.58889,7212,6/30/1998,1998
San Francisco,CA,94133,37.80619,-122.4152,7280,7/1/1998,1998
Los Angeles,CA,90012,34.01223,-118.33432,78834,10/15/1999,1999
San Luis Obispo,CA,93401,35.279705,-120.6609,41526,4/15/2000,2000
San Luis Obispo,CA,93405,35.249928,-120.68968,35560,4/15/2000,2000
San Luis Obispo,CA,93401,35.259819,-120.676,35561,4/15/2000,2000
Northridge,CA,91330,34.241688,-118.52854,21396,1/15/2002,2002
Northridge,CA,91330,34.236855,-118.53259,21397,1/15/2002,2002
Northridge,CA,91330,34.248959,-118.52389,21395,1/15/2002,2002
San Francisco,CA,94105,37.788811,-122.401,21358,1/31/2002,2002
San Francisco,CA,94108,37.79179,-122.41126,21360,1/31/2002,2002
Los Angeles,CA,90012,34.057655,-118.24789,21374,1/31/2002,2002
