logprice,Coefficient,Std. err.,z,P>z,[95% conf.,interval]
,,,,,,
post,0.0604524,0.0291265,2.08,0.038,0.0033656,0.1175392
pop_intensity,0.0000296,0.0000985,0.3,0.764,-0.0001635,0.0002227
x65_happening,0.0039252,0.0040869,0.96,0.337,-0.004085,0.0119353
salesshare,0,(omitted),,,,
residential,0,(omitted),,,,
whiteshare,0.0029464,0.0013829,2.13,0.033,0.0002359,0.0056569
yr1,0,0.8315609,0,1,-1.629829,1.629829
yr2,0.0895812,0.8325556,0.11,0.914,-1.542198,1.72136
yr3,0.1956264,0.8327139,0.23,0.814,-1.436463,1.827716
yr4,0.2935597,0.8324627,0.35,0.724,-1.338037,1.925157
yr5,0.3728755,0.8316541,0.45,0.654,-1.257137,2.002888
yr6,0.444113,0.831412,0.53,0.593,-1.185425,2.07365
yr7,0.529125,0.8319869,0.64,0.525,-1.101539,2.159789
yr8,0.6352717,0.8325047,0.76,0.445,-0.9964075,2.266951
yr9,0.7161582,0.8322558,0.86,0.39,-0.9150332,2.34735
yr10,0.8012768,0.8316933,0.96,0.335,-0.8288121,2.431366
yr11,0.8804461,0.8302876,1.06,0.289,-0.7468878,2.50778
yr12,0.9015742,0.8298422,1.09,0.277,-0.7248866,2.528035
yr13,0.9650023,0.830285,1.16,0.245,-0.6623264,2.592331
yr14,1.036081,0.8314632,1.25,0.213,-0.5935567,2.665719
yr15,1.087363,0.8309061,1.31,0.191,-0.5411829,2.715909
yr16,1.113809,0.8298082,1.34,0.18,-0.512585,2.740203
yr17,1.19578,0.8303242,1.44,0.15,-0.4316252,2.823186
yr18,1.262573,0.8312878,1.52,0.129,-0.3667211,2.891867
yr19,1.32579,0.8324045,1.59,0.111,-0.3056928,2.957273
yr20,1.412884,0.8302984,1.7,0.089,-0.2144713,3.040239
yr21,1.485388,0.8303958,1.79,0.074,-0.1421579,3.112934
yr22,1.542618,0.8306718,1.86,0.063,-0.085469,3.170705
yr23,1.614015,0.831397,1.94,0.052,-0.0154931,3.243523
yr24,1.699801,0.8328171,2.04,0.041,0.0675095,3.332093
mnth1,0,0.0394132,0,1,-0.0772484,0.0772484
mnth2,0.0064268,0.0394918,0.16,0.871,-0.0709757,0.0838293
mnth3,0.0330178,0.0394813,0.84,0.403,-0.0443642,0.1103998
mnth4,0.0468238,0.0394432,1.19,0.235,-0.0304833,0.124131
mnth5,0.0653556,0.039573,1.65,0.099,-0.0122061,0.1429173
mnth6,0.0832022,0.0395896,2.1,0.036,0.005608,0.1607963
mnth7,0.0815577,0.0394752,2.07,0.039,0.0041877,0.1589277
mnth8,0.0832348,0.0395433,2.1,0.035,0.0057314,0.1607382
mnth9,0.0798006,0.0394818,2.02,0.043,0.0024176,0.1571835
mnth10,0.0774775,0.0395482,1.96,0.05,-0.0000357,0.1549906
mnth11,0.079654,0.0394929,2.02,0.044,0.0022493,0.1570586
mnth12,0.0759763,0.0395222,1.92,0.055,-0.0014858,0.1534384
