logprice,Coefficient,Std. err.,z,P>z,[95% conf.,interval]
,,,,,,
post,0.054192,0.0283414,1.91,0.056,-0.0013561,0.1097402
incp,-0.0036252,0.0013539,-2.68,0.007,-0.0062787,-0.0009716
pop_intensity,0.0000567,0.0000982,0.58,0.564,-0.0001359,0.0002492
salesshare,0,(omitted),,,,
residential,0,(omitted),,,,
yr1,-1.831532,0.9065263,-2.02,0.043,-3.608291,-0.0547728
yr2,-1.735622,0.9068465,-1.91,0.056,-3.513009,0.0417645
yr3,-1.619413,0.9065179,-1.79,0.074,-3.396155,0.1573292
yr4,-1.517058,0.9064498,-1.67,0.094,-3.293667,0.259551
yr5,-1.43629,0.907054,-1.58,0.113,-3.214084,0.3415028
yr6,-1.358462,0.907939,-1.5,0.135,-3.13799,0.4210658
yr7,-1.264927,0.9082581,-1.39,0.164,-3.04508,0.5152265
yr8,-1.156126,0.9076727,-1.27,0.203,-2.935132,0.6228795
yr9,-1.064662,0.9065905,-1.17,0.24,-2.841547,0.7122223
yr10,-0.9730534,0.906078,-1.07,0.283,-2.748934,0.8028268
yr11,-0.8940688,0.9048507,-0.99,0.323,-2.667544,0.879406
yr12,-0.8807537,0.9042808,-0.97,0.33,-2.653112,0.8916041
yr13,-0.8139701,0.9026996,-0.9,0.367,-2.583229,0.9552885
yr14,-0.7346636,0.902341,-0.81,0.416,-2.503219,1.033892
yr15,-0.6763713,0.9015708,-0.75,0.453,-2.443418,1.090675
yr16,-0.6512511,0.9017793,-0.72,0.47,-2.418706,1.116204
yr17,-0.5584653,0.9018827,-0.62,0.536,-2.326123,1.209192
yr18,-0.4844248,0.9009838,-0.54,0.591,-2.250321,1.281471
yr19,-0.4268565,0.9024315,-0.47,0.636,-2.19559,1.341877
yr20,-0.3291224,0.9002741,-0.37,0.715,-2.093627,1.435382
yr21,-0.2528958,0.9007743,-0.28,0.779,-2.018381,1.512589
yr22,-0.1803332,0.8981253,-0.2,0.841,-1.940626,1.57996
yr23,-0.0977419,0.8986306,-0.11,0.913,-1.859025,1.663542
yr24,0,0.8995684,0,1,-1.763122,1.763122
mnth1,-0.0801864,0.0395294,-2.03,0.043,-0.1576626,-0.0027102
mnth2,-0.0740392,0.039593,-1.87,0.061,-0.1516401,0.0035617
mnth3,-0.0472945,0.0397868,-1.19,0.235,-0.1252751,0.0306862
mnth4,-0.03336,0.0399121,-0.84,0.403,-0.1115863,0.0448664
mnth5,-0.0149562,0.039967,-0.37,0.708,-0.0932901,0.0633777
mnth6,0.0032194,0.0399977,0.08,0.936,-0.0751747,0.0816134
mnth7,0.001606,0.0399647,0.04,0.968,-0.0767234,0.0799354
mnth8,0.0030939,0.0398242,0.08,0.938,-0.0749601,0.0811479
mnth9,0,0.0396068,0,1,-0.0776279,0.0776279
mnth10,-0.0027367,0.0398481,-0.07,0.945,-0.0808376,0.0753641
mnth11,-0.0001744,0.0398561,0,0.997,-0.0782908,0.0779421
mnth12,-0.0034787,0.0395558,-0.09,0.93,-0.0810067,0.0740492
x65_happening,0.0055839,0.0035251,1.58,0.113,-0.0013251,0.012493
