logprice,Coefficient,Std. err.,z,P>z,[95% conf.,interval]
,,,,,,
post,0.0609179,0.0269372,2.26,0.024,0.008122,0.1137138
incp,-0.0032445,0.001667,-1.95,0.052,-0.0065117,0.0000226
pop_intensity,0.000052,0.0001001,0.52,0.603,-0.0001442,0.0002482
salesshare,0,(omitted),,,,
residential,0,(omitted),,,,
yr1,-1.858272,0.9114771,-2.04,0.041,-3.644735,-0.07181
yr2,-1.763727,0.911359,-1.94,0.053,-3.549958,0.0225035
yr3,-1.649029,0.911015,-1.81,0.07,-3.434585,0.1365279
yr4,-1.547792,0.9106369,-1.7,0.089,-3.332608,0.2370234
yr5,-1.467641,0.9103974,-1.61,0.107,-3.251988,0.3167048
yr6,-1.392625,0.9100826,-1.53,0.126,-3.176354,0.3911042
yr7,-1.301726,0.90928,-1.43,0.152,-3.083881,0.4804305
yr8,-1.190875,0.9087103,-1.31,0.19,-2.971915,0.5901643
yr9,-1.102167,0.9086123,-1.21,0.225,-2.883014,0.6786807
yr10,-1.012392,0.9083195,-1.11,0.265,-2.792665,0.7678817
yr11,-0.9329301,0.9084287,-1.03,0.304,-2.713418,0.8475574
yr12,-0.9166241,0.9090303,-1.01,0.313,-2.698291,0.8650425
yr13,-0.8488372,0.9092002,-0.93,0.351,-2.630837,0.9331625
yr14,-0.7703045,0.9094072,-0.85,0.397,-2.55271,1.012101
yr15,-0.7122742,0.9101462,-0.78,0.434,-2.496128,1.07158
yr16,-0.6828521,0.9111722,-0.75,0.454,-2.468717,1.103013
yr17,-0.5915863,0.9111214,-0.65,0.516,-2.377352,1.194179
yr18,-0.515404,0.9118211,-0.57,0.572,-2.30254,1.271732
yr19,-0.4291838,0.9110567,-0.47,0.638,-2.214822,1.356454
yr20,-0.3451771,0.9110653,-0.38,0.705,-2.130832,1.440478
yr21,-0.2552791,0.9111785,-0.28,0.779,-2.041156,1.530598
yr22,-0.2009903,0.9116343,-0.22,0.826,-1.987761,1.58578
yr23,-0.0973464,0.9107892,-0.11,0.915,-1.88246,1.687768
yr24,0,0.9115161,0,1,-1.786539,1.786539
mnth1,0,0.039145,0,1,-0.0767228,0.0767228
mnth2,0.0063896,0.0392687,0.16,0.871,-0.0705757,0.0833548
mnth3,0.0330207,0.0392081,0.84,0.4,-0.0438258,0.1098671
mnth4,0.0467824,0.0392294,1.19,0.233,-0.0301059,0.1236707
mnth5,0.0653608,0.0392858,1.66,0.096,-0.011638,0.1423596
mnth6,0.0832041,0.0393053,2.12,0.034,0.0061672,0.1602411
mnth7,0.0815283,0.0390895,2.09,0.037,0.0049142,0.1581424
mnth8,0.0832771,0.0391016,2.13,0.033,0.0066393,0.1599148
mnth9,0.0797804,0.0391207,2.04,0.041,0.0031052,0.1564556
mnth10,0.0775054,0.0391045,1.98,0.047,0.000862,0.1541489
mnth11,0.079636,0.038921,2.05,0.041,0.0033522,0.1559199
mnth12,0.075964,0.039167,1.94,0.052,-0.0008019,0.15273
whiteshare,0.0029547,0.0013415,2.2,0.028,0.0003255,0.005584
