logprice,Coefficient,Std. err.,z,P>z,[95% conf.,interval]
,,,,,,
post,0.0560398,0.0263993,2.12,0.034,0.0042982,0.1077814
inf_rate,0.0456742,0.0215104,2.12,0.034,0.0035145,0.0878338
inc_rate,-0.089028,0.0726138,-1.23,0.22,-0.2313485,0.0532925
pop_intensity,-0.0000154,0.0001084,-0.14,0.887,-0.000228,0.0001971
x65_happening,0.0043505,0.0041518,1.05,0.295,-0.0037869,0.0124879
salesshare,0,(omitted),,,,
residential,0,(omitted),,,,
whiteshare,0.0028031,0.0014235,1.97,0.049,0.0000131,0.0055931
yr1,0,0.8177802,0,1,-1.60282,1.60282
yr2,0.0880289,0.8184455,0.11,0.914,-1.516095,1.692153
yr3,0.1889693,0.8176594,0.23,0.817,-1.413614,1.791552
yr4,0.2870818,0.8170935,0.35,0.725,-1.314392,1.888556
yr5,0.3603019,0.8169377,0.44,0.659,-1.240867,1.96147
yr6,0.4359545,0.8167287,0.53,0.593,-1.164804,2.036713
yr7,0.5199156,0.8177519,0.64,0.525,-1.082849,2.12268
yr8,0.6241635,0.8184028,0.76,0.446,-0.9798765,2.228204
yr9,0.7141778,0.8179308,0.87,0.383,-0.888937,2.317293
yr10,0.8031607,0.8180878,0.98,0.326,-0.800262,2.406583
yr11,0.8883102,0.8172815,1.09,0.277,-0.7135321,2.490153
yr12,0.9019964,0.8170547,1.1,0.27,-0.6994014,2.503394
yr13,0.959273,0.8162341,1.18,0.24,-0.6405165,2.559062
yr14,1.037286,0.8167722,1.27,0.204,-0.5635584,2.63813
yr15,1.081746,0.8171003,1.32,0.186,-0.5197408,2.683234
yr16,1.103665,0.8163714,1.35,0.176,-0.4963936,2.703723
yr17,1.192088,0.8168822,1.46,0.144,-0.4089719,2.793147
yr18,1.253696,0.8184747,1.53,0.126,-0.350485,2.857877
yr19,1.317598,0.8192973,1.61,0.108,-0.2881953,2.923391
yr20,1.403523,0.8186835,1.71,0.086,-0.201067,3.008113
yr21,1.473556,0.818512,1.8,0.072,-0.1306977,3.07781
yr22,1.531336,0.818473,1.87,0.061,-0.0728421,3.135513
yr23,1.590228,0.8203524,1.94,0.053,-0.0176328,3.19809
yr24,1.674747,0.8220814,2.04,0.042,0.0634967,3.285997
mnth1,-0.0800976,0.0397338,-2.02,0.044,-0.1579745,-0.0022207
mnth2,-0.0734217,0.0400392,-1.83,0.067,-0.1518972,0.0050537
mnth3,-0.047277,0.0403613,-1.17,0.241,-0.1263837,0.0318297
mnth4,-0.0333604,0.0404275,-0.83,0.409,-0.1125968,0.0458761
mnth5,-0.0148174,0.0404293,-0.37,0.714,-0.0940573,0.0644225
mnth6,0.0034264,0.0403858,0.08,0.932,-0.0757284,0.0825811
mnth7,0.0015298,0.0401508,0.04,0.97,-0.0771644,0.0802239
mnth8,0.0031158,0.0398014,0.08,0.938,-0.0748934,0.0811251
mnth9,0,0.0396244,0,1,-0.0776623,0.0776623
mnth10,-0.0021995,0.0401661,-0.05,0.956,-0.0809236,0.0765247
mnth11,-0.0007389,0.040046,-0.02,0.985,-0.0792277,0.0777499
mnth12,-0.0041791,0.0394692,-0.11,0.916,-0.0815373,0.073179
