logprice  Coefficient,Std. err.,z,P>z,[95% conf.,interval],
,,,,,,
post,0.0585453,0.0281848,2.08,0.038,0.003304,0.1137866
inf_rate,0.0470302,0.0227148,2.07,0.038,0.0025101,0.0915504
inc_rate,-0.0719963,0.0615261,-1.17,0.242,-0.1925853,0.0485927
pop_intensity,-0.0000196,0.0001019,-0.19,0.847,-0.0002194,0.0001802
x65_happening,0.0043752,0.0043247,1.01,0.312,-0.0041011,0.0128515
salesshare,0,(omitted),,,,
residential,0,(omitted),,,,
whiteshare,0.0027769,0.001375,2.02,0.043,0.0000818,0.0054719
yr1,0,0.8173658,0,1,-1.602008,1.602008
yr2,0.0881047,0.8172453,0.11,0.914,-1.513667,1.689876
yr3,0.1893442,0.8160761,0.23,0.817,-1.410136,1.788824
yr4,0.2884679,0.8159384,0.35,0.724,-1.310742,1.887678
yr5,0.3618714,0.8151686,0.44,0.657,-1.23583,1.959572
yr6,0.4366795,0.81445,0.54,0.592,-1.159613,2.032972
yr7,0.5205945,0.8152383,0.64,0.523,-1.077243,2.118432
yr8,0.6251896,0.8153459,0.77,0.443,-0.9728589,2.223238
yr9,0.7152801,0.8153082,0.88,0.38,-0.8826947,2.313255
yr10,0.8045028,0.8154547,0.99,0.324,-0.793759,2.402765
yr11,0.8894911,0.8158091,1.09,0.276,-0.7094654,2.488448
yr12,0.9063059,0.8150653,1.11,0.266,-0.6911926,2.503804
yr13,0.9598539,0.814297,1.18,0.238,-0.6361388,2.555847
yr14,1.038423,0.8144797,1.27,0.202,-0.5579283,2.634773
yr15,1.081495,0.8139939,1.33,0.184,-0.5139037,2.676894
yr16,1.103652,0.8132799,1.36,0.175,-0.4903477,2.697651
yr17,1.190318,0.8139058,1.46,0.144,-0.4049084,2.785544
yr18,1.252399,0.8131999,1.54,0.124,-0.3414436,2.846241
yr19,1.31637,0.8135945,1.62,0.106,-0.2782464,2.910986
yr20,1.40124,0.811392,1.73,0.084,-0.189059,2.991539
yr21,1.471263,0.8128413,1.81,0.07,-0.1218764,3.064403
yr22,1.530046,0.8114386,1.89,0.059,-0.0603444,3.120437
yr23,1.597133,0.813849,1.96,0.05,0.0020182,3.192248
yr24,1.673178,0.8136699,2.06,0.04,0.0784142,3.267941
mnth1,-0.0799795,0.0397172,-2.01,0.044,-0.1578239,-0.0021352
mnth2,-0.0734037,0.0399815,-1.84,0.066,-0.151766,0.0049585
mnth3,-0.0472309,0.0404012,-1.17,0.242,-0.1264158,0.031954
mnth4,-0.0332594,0.040472,-0.82,0.411,-0.112583,0.0460642
mnth5,-0.0147734,0.040512,-0.36,0.715,-0.0941754,0.0646286
mnth6,0.0034326,0.0405618,0.08,0.933,-0.076067,0.0829322
mnth7,0.0015464,0.0401485,0.04,0.969,-0.0771433,0.080236
mnth8,0.0031112,0.0398556,0.08,0.938,-0.0750043,0.0812267
mnth9,0,0.0398024,0,1,-0.0780113,0.0780113
mnth10,-0.0022318,0.0398196,-0.06,0.955,-0.0802767,0.0758132
mnth11,-0.0006804,0.0399899,-0.02,0.986,-0.0790592,0.0776984
mnth12,-0.0042294,0.0400554,-0.11,0.916,-0.0827366,0.0742777
