Facility,Percentage,,facilitytype,freq,percent,cum,
Hotel,20.9%,,HOTEL,453,20.94,44.57,20.9%
Shopping_center,8.2%,,SHOPPING_CENTER,178,8.23,87.84,8.2%
Car_dealer,7.6%,,CAR_DEALER,164,7.58,16.04,7.6%
Shopping_mall,7.2%,,SHOPPING_MALL,156,7.21,95.05,7.2%
Brewery_distillery_winery,6.3%,,BREWERY_DISTILLERY_WINERY,136,6.29,8.14,6.3%
Office_bldg,6.0%,,OFFICE_BLDG,129,5.96,61.9,6.0%
Muni_gov,5.6%,,MUNI_GOV,120,5.55,55.02,5.6%
School,4.2%,,SCHOOL,91,4.21,79.61,4.2%
Parking_lot,3.7%,,PARKING_LOT,80,3.7,70.97,3.7%
College_campus,3.3%,,COLLEGE_CAMPUS,71,3.28,19.33,3.3%
Parking_garage,3.0%,,PARKING_GARAGE,64,2.96,67.27,3.0%
Inn,2.9%,,INN,63,2.91,47.48,2.9%
Utility,2.8%,,UTILITY,61,2.82,100,2.8%
Restaurant,1.8%,,RESTAURANT,38,1.76,75.17,1.8%
Grocery,1.5%,,GROCERY,32,1.48,22.05,1.5%
Hospital,1.5%,,HOSPITAL,32,1.48,23.62,1.5%
Others,13.6%,,PARK,26,1.2,64.31,13.6%
,,,OTHER_ENTERTAINMENT,23,1.06,63.11,
,,,STATE_GOV,22,1.02,96.12,
,,,AIRPORT,22,1.02,1.02,
,,,LIBRARY,21,0.97,48.45,
,,,MULTI_UNIT_DWELLING,19,0.88,49.47,
,,,REC_SPORTS_FACILITY,18,0.83,73.37,
,,,PAY_GARAGE,17,0.79,71.75,
,,,NATL_PARK,13,0.6,55.94,
,,,BANK,12,0.55,1.85,
,,,PLACE_OF_WORSHIP,12,0.55,72.49,
,,,TRAVEL_CENTER,11,0.51,97.04,
,,,GAS_STATION,10,0.46,20.57,
,,,MUSEUM,7,0.32,55.34,
,,,B_AND_B,5,0.23,8.37,
,,,STORAGE,5,0.23,96.35,
,,,FLEET_GARAGE,5,0.23,20.11,
,,,PAY_LOT,4,0.18,71.94,
,,,AUTO_REPAIR,4,0.18,1.29,
,,,CONVENIENCE_STORE,4,0.18,19.51,
,,,REST_STOP,4,0.18,75.36,
,,,STREET_PARKING,4,0.18,96.53,
,,,CONVENTION_CENTER,3,0.14,19.65,
,,,OTHER,3,0.14,62.04,
,,,TRUCK_STOP,3,0.14,97.18,
,,,MOTOR_POOL,3,0.14,48.59,
,,,FED_GOV,2,0.09,19.79,
,,,HARDWARE_STORE,2,0.09,22.15,
,,,ARENA,2,0.09,1.11,
,,,FIRE_STATION,2,0.09,19.88,
,,,RESEARCH_FACILITY,1,0.05,73.42,
,,,FACTORY,1,0.05,19.69,
,,,CARWASH,1,0.05,8.46,
,,,PRISON,1,0.05,72.54,
,,,RV_PARK,1,0.05,75.4,
,,,CAMPGROUND,1,0.05,8.41,
,,,STANDALONE_STATION,1,0.05,95.1,
