logprice,Coefficient,std. err.,t    P>t,,[95% conf.,interval]
,,,,,,
post,-0.0030469,0.0085824,-0.36   0.723,,-0.0198875,0.0137937
,,,,,,
month,,,,,,
2,0.0121113,0.0078849,1.54   0.125,,-0.0033607,0.0275832
3,0.03965,0.008285,4.79   0.000,,0.023393,0.055907
4,0.0575754,0.0085608,6.73   0.000,,0.0407773,0.0743734
5,0.06568,0.0081081,8.10   0.000,,0.0497702,0.0815898
6,0.0950438,0.0083031,11.45   0.000,,0.0787513,0.1113363
7,0.089356,0.0081539,10.96   0.000,,0.0733563,0.1053557
8,0.0847842,0.0083,10.21   0.000,,0.0684978,0.1010706
9,0.0923414,0.0092121,10.02   0.000,,0.0742653,0.1104175
10,0.081395,0.0086678,9.39   0.000,,0.0643869,0.0984032
11,0.0814252,0.0090019,9.05   0.000,,0.0637616,0.0990888
12,0.0809105,0.0103028,7.85   0.000,,0.0606943,0.1011268
,,,,,,
countyyear,,,,,,
23,-0.011253,0.0385283,-0.29   0.770,,-0.0868538,0.0643477
24,0.0650263,0.0793044,0.82   0.412,,-0.090586,0.2206387
25,-0.0133588,0.031748,-0.42   0.674,,-0.0756552,0.0489376
26,0.0391338,0.0349137,1.12   0.263,,-0.0293744,0.1076421
27,0.0320508,0.0352763,0.91   0.364,,-0.0371688,0.1012704
28,0.0011643,0.0396212,0.03   0.977,,-0.076581,0.0789097
29,0.1144448,0.0587024,1.95   0.051,,-0.0007419,0.2296314
41,2.788381,0.021747,128.22   0.000,,2.745709,2.831053
44,0,(omitted),,,,
45,2.400126,0.0164668,145.76   0.000,,2.367814,2.432437
46,1.563692,0.0177035,88.33   0.000,,1.528954,1.59843
47,0,(omitted),,,,
63,-0.1729532,0.2909663,-0.59   0.552,,-0.7438917,0.3979853
64,-0.0607906,0.3240394,-0.19   0.851,,-0.6966256,0.5750443
65,0.0143559,0.3232516,0.04   0.965,,-0.6199332,0.6486451
66,0.197958,0.2125144,0.93   0.352,,-0.2190411,0.614957
67,0.0457971,0.3541204,0.13   0.897,,-0.6490633,0.7406575
68,0,(omitted),,,,
86,0,(omitted),,,,
87,0.1095499,0.0118971,9.21   0.000,,0.0862051,0.1328946
