,,Robust,,,,
logprice,Coef.,Std. Err.,t    P>t,,[95% Conf.,Interval]
,,,,,,
hwvicinitypost1,-0.1277072,0.0979581,-2.22   0.026,,-0.4097016,-0.0257127
hwvicinitypost2,-0.0079969,0.0343052,-0.23   0.816,,-0.0752339,0.0592402
hwvicinitypost3,-0.012425,0.0208567,-0.60   0.551,,-0.0533034,0.0284535
hwvicinitypost4,0.0087399,0.0190586,0.46   0.647,,-0.0286142,0.046094
hwvicinitypost5,0.0334759,0.0202864,1.65   0.099,,-0.0062846,0.0732365
hwvicinitypost6,0.0207861,0.0151758,1.37   0.171,,-0.0089579,0.0505301
hwvicinitypost7,0.0687999,0.0178644,3.85   0.000,,0.0337864,0.1038134
hwvicinitypost8,0.0247732,0.0169201,1.46   0.143,,-0.0083897,0.0579361
hwvicinitypost9,0.000539,0.0163412,0.03   0.974,,-0.0314892,0.0325672
hwvicinitypost10,0.0296032,0.0181794,1.63   0.103,,-0.0060279,0.0652342
hwpost,0.0215152,0.0046284,4.65   0.000,,0.0124437,0.0305867
post,0.0025054,0.0024784,1.01   0.312,,-0.0023522,0.007363
,,,,,,
countyyear,,,,,,
2,0.1031515,0.032554,3.17   0.002,,0.0393469,0.1669561
3,0.1265571,0.0338856,3.73   0.000,,0.0601426,0.1929717
4,0.180869,0.0325647,5.55   0.000,,0.1170435,0.2446946
5,0.3154237,0.0313975,10.05   0.000,,0.2538857,0.3769617
6,0.4202238,0.0310144,13.55   0.000,,0.3594367,0.4810109
7,0.5967194,0.0307164,19.43   0.000,,0.5365163,0.6569225
8,0.9046059,0.0308927,29.28   0.000,,0.8440573,0.9651546
9,1.05804,0.0312769,33.83   0.000,,0.9967384,1.119342
10,1.084284,0.0310287,34.94   0.000,,1.023469,1.145099
11,1.213841,0.0306211,39.64   0.000,,1.153824,1.273857
12,1.455338,0.0304317,47.82   0.000,,1.395693,1.514984
13,1.703133,0.0303101,56.19   0.000,,1.643726,1.762539
14,1.774397,0.0308745,57.47   0.000,,1.713884,1.83491
15,1.685325,0.0316487,53.25   0.000,,1.623294,1.747355
16,1.436074,0.0310422,46.26   0.000,,1.375232,1.496916
17,1.210457,0.0311773,38.82   0.000,,1.149351,1.271564
18,1.294874,0.0306784,42.21   0.000,,1.234746,1.355003
19,1.24792,0.0307235,40.62   0.000,,1.187703,1.308137
20,1.355571,0.0306979,44.16   0.000,,1.295405,1.415738
21,1.625088,0.0310027,52.42   0.000,,1.564324,1.685852
22,1.777257,0.0315333,56.36   0.000,,1.715453,1.839061
23,1.918194,0.0316002,60.70   0.000,,1.856259,1.980129
24,2.021175,0.0315571,64.05   0.000,,1.959324,2.083026
25,2.137575,0.0318523,67.11   0.000,,2.075146,2.200005
26,2.251931,0.0354326,63.56   0.000,,2.182485,2.321378
27,2.256617,0.0357354,63.15   0.000,,2.186577,2.326657
28,2.234773,0.0356103,62.76   0.000,,2.164978,2.304568
29,2.421218,0.0386096,62.71   0.000,,2.345545,2.496892
30,1.653395,0.3629332,4.56   0.000,,0.9420587,2.364731
31,1.273894,0.3773417,3.38   0.001,,0.5343172,2.01347
32,2.101524,0.1915606,10.97   0.000,,1.726072,2.476976
33,1.678274,0.3850197,4.36   0.000,,0.9236494,2.432899
34,1.750219,0.4467056,3.92   0.000,,0.8746917,2.625746
35,1.553204,0.4711108,3.30   0.001,,0.6298439,2.476565
36,1.253034,0.6073906,2.06   0.039,,0.0625696,2.443498
37,1.712297,0.4949381,3.46   0.001,,0.7422362,2.682359
38,1.934216,0.3308363,5.85   0.000,,1.285789,2.582644
39,1.16623,0.3725937,3.13   0.002,,0.4359593,1.896501
