km_to_nid,post,resid_price
0,0,.10941613
0,1,-.048348892
.1,0,-.0072979145
.1,1,-.016024688
.2,0,-.018579604
.2,1,-.013697339
.3,0,-.024674227
.3,1,.0017388243
.4,0,-.026283363
.4,1,-.0021126496
.5,0,-.027471835
.5,1,-.0049632145
.6000000000000001,0,-.02232834
.6000000000000001,1,.0017628481
.7000000000000001,0,-.014636478
.7000000000000001,1,.012499367
.8,0,-.008377905
.8,1,.0021662463
.9,0,-.010085518
.9,1,.0054804599
1,0,-.0019271524
1,1,.0089330748
1.1,0,-.00025183664
1.1,1,-.004060159
1.2,0,.00039613398
1.2,1,.010165659
1.3,0,-.002294828
1.3,1,.011120619
1.4,0,-.0090527413
1.4,1,.0035312781
1.5,0,-.0089462828
1.5,1,.00076423009
1.6,0,.0054481761
1.6,1,-.010419331
1.7,0,.0095458543
1.7,1,-.015682975
1.8,0,.0096938862
1.8,1,.0071855071
1.9,0,.0013918392
1.9,1,-.0015133083
2,0,.0087095462
2,1,-.0093019372
2.1,0,.0014429133
2.1,1,-.0018747278
2.2,0,.0044482462
2.2,1,-.0068403799
2.3,0,.0073217084
2.3,1,.0084572434
2.4,0,.019484313
2.4,1,.018373469
2.5,0,.018449744
2.5,1,.041366242
2.6,0,.016260289
2.6,1,.032286145
2.7,0,.023671381
2.7,1,.030306732
2.8,0,.0047355276
2.8,1,.034738697
2.9,0,.012803473
2.9,1,.02813481
3,0,.02530417
3,1,-.0047608824
3.1,0,.02840043
3.1,1,.013842676
3.2,0,.032710116
3.2,1,-.0076672533
3.3,0,.028636519
3.3,1,-.018762078
3.4,0,.029366858
3.4,1,-.030741345
3.5,0,.027296089
3.5,1,.002741307
3.6,0,.024546059
3.6,1,.0330186
3.7,0,.022719264
3.7,1,-.0066096238
3.8,0,.029284161
3.8,1,.016851237
3.9,0,.031861618
3.9,1,.037284397
4,0,.033198129
4,1,.03639105
